caseID,uri,uriID,newURI
1,use://app/src/main/java/de/robv/android/xposed/installer/DownloadFragment.java[language=FILE]//DownloadFragment/DownloadsAdapter/bindView/view.findViewById/android.R.id.text2[language=JAVA],0,use://app/src/main/java/de/robv/android/xposed/installer/DownloadFragment.java[language=FILE]//DownloadFragment/DownloadsAdapter/bindView/view.findViewById/android.R.id.text3[language=JAVA]
2,def://app/src/main/res/layout-v23/list_item_download.xml[language=FILE]//FrameLayout/RelativeLayout/TextView/android:layout_below[language=XML]//@id\\/downloadStatus[language=ANY],0,def://app/src/main/res/layout-v23/list_item_download.xml[language=FILE]//FrameLayout/RelativeLayout/TextView/android:layout_below[language=XML]//@id\\/downloadingStatus[language=ANY]
2,def://app/src/main/res/layout-v23/list_item_download.xml[language=FILE]//FrameLayout/RelativeLayout/TextView/android:id[language=XML]//@+id\\/downloadStatus[language=ANY],0,def://app/src/main/res/layout-v23/list_item_download.xml[language=FILE]//FrameLayout/RelativeLayout/TextView/android:id[language=XML]//@+id\\/downloadingStatus[language=ANY]
2,def://app/src/main/res/layout/list_item_download.xml[language=FILE]//FrameLayout/RelativeLayout/TextView/android:layout_below[language=XML]//@id\\/downloadStatus[language=ANY],0,def://app/src/main/res/layout/list_item_download.xml[language=FILE]//FrameLayout/RelativeLayout/TextView/android:layout_below[language=XML]//@id\\/downloadingStatus[language=ANY]
2,def://app/src/main/res/layout/list_item_download.xml[language=FILE]//FrameLayout/RelativeLayout/TextView/android:id[language=XML]//@+id\\/downloadStatus[language=ANY],0,def://app/src/main/res/layout/list_item_download.xml[language=FILE]//FrameLayout/RelativeLayout/TextView/android:id[language=XML]//@+id\\/downloadingStatus[language=ANY]
3,def://app/src/main/res/menu/menu_download_details.xml[language=FILE]//menu/item/android:id[language=XML]//@+id\\/menu_share[language=ANY],0,def://app/src/main/res/menu/menu_download_details.xml[language=FILE]//menu/item/android:id[language=XML]//@+id\\/item_menu_share[language=ANY]
4,def://app/src/main/res/layout/toolbar.xml[language=FILE]//LinearLayout/android.support.v7.widget.Toolbar/android:id[language=XML]//@+id\\/toolbar[language=ANY],0,def://app/src/main/res/layout/toolbar.xml[language=FILE]//LinearLayout/android.support.v7.widget.Toolbar/android:id[language=XML]//@+id\\/item_toolBar[language=ANY]
5,def://app/src/main/res/layout/activity_download_details.xml[language=FILE]//android.support.design.widget.CoordinatorLayout/android.support.design.widget.AppBarLayout/android.support.v7.widget.Toolbar/android:id[language=XML]//@+id\\/toolbar[language=ANY],0,def://app/src/main/res/layout/activity_download_details.xml[language=FILE]//android.support.design.widget.CoordinatorLayout/android.support.design.widget.AppBarLayout/android.support.v7.widget.Toolbar/android:id[language=XML]//@+id\\/tool_bar[language=ANY]
6,use://app/src/main/java/de/robv/android/xposed/installer/DownloadDetailsActivity.java[language=FILE]//DownloadDetailsActivity/onCreate/findViewById/R.id.toolbar[language=JAVA],0,use://app/src/main/java/de/robv/android/xposed/installer/DownloadDetailsActivity.java[language=FILE]//DownloadDetailsActivity/onCreate/findViewById/R.id.toolBar[language=JAVA]
7,def://app/src/main/res/layout/activity_container.xml[language=FILE]//LinearLayout/FrameLayout/android:id[language=XML]//@+id\\/container[language=ANY],0,def://app/src/main/res/layout/activity_container.xml[language=FILE]//LinearLayout/FrameLayout/android:id[language=XML]//@+id\\/item_container[language=ANY]
